,,,,,
,"product_sku","product_node_id","nutrition_table_item","amount_per_serving","percent_daily_value "
1270,"3771",644,"Lutein (from Marigold Extract)","100 mcg","† "
1271,"3771",644,"Lycopene (from Natural Tomato Extract)","100 mcg","† "
1272,"3771",644,"Vanadium (from Vanadyl Sulfate)","10 mcg","† "
1273,"3856",767,"Serving Size:","1 Tablet",
1274,"3856",767,"Servings Per Container:",90,
1275,"3856",767,"Beta-Carotene (as pro-Vitamin A 3 mg)","5,000 IU",100%
1276,"3856",767,"Vitamin C (from Calcium Ascorbate and as Ascorbic Acid)","200 mg",333%
1277,"3856",767,"Vitamin D (as Ergocalciferol)","200 IU",50%
1278,"3856",767,"Vitamin E (as d-alpha Tocopheryl Succinate)","100 IU",333%
1279,"3856",767,"Thiamine (from Thiamine HCl)","25 mg",1667%
1280,"3856",767,"Riboflavin","25 mg",1471%
1281,"3856",767,"Niacin (as Niacinamide)","25 mg",125%
1282,"3856",767,"Vitamin B-6 (from Pyridoxine HCl)","25 mg",1250%
1283,"3856",767,"Folic Acid","400 mcg",100%
1284,"3856",767,"Vitamin B-12 (as Cyanocobalamin)","100 mcg",1667%
1285,"3856",767,"Biotin","100 mcg",33%
1286,"3856",767,"Pantothenic Acid","25 mg",250%
1287,"3856",767,"Calcium (from Calcium Carbonate and Calcium Ascorbate)","50 mg",5%
1288,"3856",767,"Iron (from AAC**) (Bisglycinate) (Ferrochel®)","5 mg",28%
1289,"3856",767,"Iodine (from Potassium Iodide)","150 mcg",100%
1290,"3856",767,"Magnesium (from Magnesium Oxide and Magnesium Citrate)","30 mg",8%
1291,"3856",767,"Zinc (from Amino Acid Chelate)","10 mg",67%
1292,"3856",767,"Selenium (from L-Selenomethionine)","25 mcg",36%
1293,"3856",767,"Copper (from Amino Acid Chelate)","500 mcg",25%
1294,"3856",767,"Manganese (from Amino Acid Chelate)","3 mg",150%
1295,"3856",767,"Chromium (from AAC**) (Chelavite®)","25 mcg",21%
1296,"3856",767,"Molybdenum (from Sodium Molybdate)","50 mcg",67%
1297,"3856",767,"Potassium (from Potassium Chloride)","20 mg",1%
1298,"3856",767,"Choline (from Choline Bitartrate)","25 mg","† "
1299,"3856",767,"Inositol","25 mg","† "
1300,"3856",767,"PABA","25 mg","† "
1301,"3856",767,"Boron (from Boron Citrate)","500 mcg","† "
1302,"3856",767,"Vanadium (from Vanadyl Sulfate)","50 mcg","† "
1303,"3856",767,"<b>Spirulina (Algae)</b>","<b>50 mg</b>","<b>†</b> "
1304,"3856",767,"<b>Chlorella (Broken Cell Wall) (Algae)</b>","<b>50 mg</b>","<b>†</b> "
1305,"3856",767,"<b>Barley Grass (Organic)</b>","<b>50 mg</b>","<b>†</b> "
1306,"3856",767,"Lipase (400 USP/g)","5 mg","† "
1307,"3856",767,"Rutin","10 mg","† "
1308,"3856",767,"Citrus Bioflavonoids (37% as Hesperidin)","25 mg","† "
1309,"3856",767,"Betaine HCl","10 mg","† "
1310,"3856",767,"Glutamic Acid","10 mg","† "
1311,"3856",767,"Papain (Papaya) (140 MCU/g)","5 mg","† "
1312,"3856",767,"Bromelain (2400 GDU/g)","5 mg","† "
1313,"3856",767,"Amylase (5000 USP/g)","5 mg","† "
1314,"3856",767,"Lutein (from Marigold Extract)","250 mcg","† "
1315,"3856",767,"Lycopene (from Natural Tomato Extract)","250 mcg","† "
1316,"3856",767,"Alpha Lipoic Acid","25 mg","† "
1317,"3864",768,"Serving Size:","2 Tablets",
1318,"3864",768,"Servings Per Container:",90,
1319,"3864",768,"Beta-Carotene (as pro-Vitamin A 6 mg)","10,000 IU",200%
1320,"3864",768,"Vitamin C (from Calcium Ascorbate and as Ascorbic Acid)","500 mg",833%
1321,"3864",768,"Vitamin D (as Ergocalciferol)","400 IU",100%
1322,"3864",768,"Vitamin E (as d-alpha Tocopheryl Succinate)","200 IU",667%
1323,"3864",768,"Thiamine (from Thiamine HCl)","50 mg",3333%
1324,"3864",768,"Riboflavin","50 mg",2941%
1325,"3864",768,"Niacin (as Niacinamide)","50 mg",250%
1326,"3864",768,"Vitamin B-6 (as Pyridoxine HCl)","50 mg",2500%
1327,"3864",768,"Folic Acid","400 mcg",100%
1328,"3864",768,"Vitamin B-12 (as Cyanocobalamin)","100 mcg",1667%
1329,"3864",768,"Biotin","100 mcg",33%
1330,"3864",768,"Pantothenic Acid","50 mg",500%
1331,"3864",768,"Calcium (from Calcium Carbonate and Calcium Ascorbate)","100 mg",10%
1332,"3864",768,"Iron (from AAC*) (Bisglycinate) (Ferrochel®)","10 mg",56%
1333,"3864",768,"Iodine (from Potassium Iodide)","150 mcg",100%
1334,"3864",768,"Magnesium (from Magnesium Oxide and Magnesium Amino Acid Chelate)","50 mg",13%
1335,"3864",768,"Zinc (from Amino Acid Chelate)","15 mg",100%
1336,"3864",768,"Selenium (from L-Selenomethionine)","50 mcg",71%
1337,"3864",768,"Copper (from Amino Acid Chelate)","1 mg",50%
1338,"3864",768,"Manganese (from Amino Acid Chelate)","5 mg",250%
1339,"3864",768,"Chromium (from AAC**) (Chelavite®)","100 mcg",83%
1340,"3864",768,"Molybdenum (from Sodium Molybdate)","50 mcg",67%
1341,"3864",768,"Potassium (from Potassium Chloride)","50 mg",1%
1342,"3864",768,"Choline (from Choline Bitartrate)","50 mg","† "
1343,"3864",768,"Inositol","50 mg","† "
1344,"3864",768,"PABA","30 mg","† "
1345,"3864",768,"Boron (from Boron Citrate)","1 mg","† "
1346,"3864",768,"Vanadium (from Vanadyl Sulfate)","50 mcg","† "
1347,"3864",768,"<b>Spirulina (Algae)</b>","<b>250 mg</b>","<b>†</b> "
1348,"3864",768,"<b>Chlorella (Broken Cell Wall) (Algae)</b>","<b>250 mg</b>","<b>†</b> "
1349,"3864",768,"<b>Barley Grass (Organic)</b>","<b>250 mg</b>","<b>†</b> "
1350,"3864",768,"<b>Alfalfa Juice Concentrate</b>","<b>100 mg</b>","<b>†</b> "
1351,"3864",768,"Octocosanol (Wheat-Free)","100 mcg","† "
1352,"3864",768,"Green Tea Extract (<1 mg of caffeine)","50 mg","† "
1353,"3864",768,"Milk Thistle Extract (80% Silymarin)","50 mg","† "
1354,"3864",768,"Lipase (400 USP/g)","10 mg","† "
1355,"3864",768,"Rutin","25 mg","† "
1356,"3864",768,"Citrus Bioflavonoids (37% as Hesperidin)","50 mg","† "
1357,"3864",768,"Apple Pectin","25 mg","† "
1358,"3864",768,"Papain (Papaya) (140 MCU/g)","25 mg","† "
1359,"3864",768,"Bromelain (2400 GDU/g)","20 mg","† "
1360,"3864",768,"Amylase (5000 USP/g)","10 mg","† "
1361,"3864",768,"Chlorophyll","9 mg","† "
1362,"3864",768,"Lutein (from Marigold Extract)","250 mcg","† "
1363,"3864",768,"Lycopene (from Natural Tomato Extract)","250 mcg","† "
1364,"3864",768,"Alpha Lipoic Acid","50 mg","† "
1365,"3875",595,"Serving Size:","2 Tablets",
1366,"3875",595,"Servings Per Container:",30,
1367,"3875",595,"Beta-Carotene (as pro-Vitamin A 6 mg)","10,000 IU",200%
1368,"3875",595,"Vitamin C (from Calcium Ascorbate)","350 mg",583%
1369,"3875",595,"Vitamin D (as Ergocalciferol)","400 IU",100%
1370,"3875",595,"Vitamin E (from d-alpha Tocopheryl Succinate)","200 IU",667%
1371,"3875",595,"Vitamin K (as Phytonadione)","50 mcg",63%
1372,"3875",595,"Thiamine (Vit B-1) (from Thiamine HCl)","25 mg",1667%
1373,"3875",595,"Riboflavin (Vitamin B-2)","25 mg",1471%
1374,"3875",595,"Niacin (Vitamin B-3) (as Niacinamide)","50 mg",250%
1375,"3875",595,"Vitamin B-6 (from Pyridoxine HCl and Pyridoxal-5-Phosphate (P-5-P))","25 mg",1250%
1376,"3875",595,"Folate (as Folic Acid)","800 mcg",200%
1377,"3875",595,"Vitamin B-12 (as Methylcobalamin)","250 mcg",4167%
1378,"3875",595,"Biotin","300 mcg",100%
1379,"3875",595,"Pantothenic Acid (Vitamin B-5) (from Calcium d-Pantothenate)","100 mg",1000%
1380,"3875",595,"Calcium (from Calcium Carbonate and Calcium Ascorbate)","350 mg",35%
1381,"3875",595,"Iodine (from Kelp)","225 mcg",150%
1382,"3875",595,"Magnesium (from Magnesium Oxide, Magnesium Citrate and ZMA&#174;)","100 mg",25%
1383,"3875",595,"Zinc ((from ZinMax&ampreg; (Zinc Picolinate) and ZMA&ampreg;)","30 mg",200%
1384,"3875",595,"Selenium (from L-Selenomethionine)","200 mcg",286%
1385,"3875",595,"Copper (from Copper AAC*)","500 mcg",25%
1386,"3875",595,"Manganese (from Manganese AAC*)","3 mg",150%
1387,"3875",595,"Chromium (from Chromium Chelavite®)","200 mcg",167%
1388,"3875",595,"Molybdenum (from Molybdenum AAC*)","50 mcg",67%
1389,"3875",595,"Potassium (from Potassium Chloride)","50 mg",1%
1390,"3875",595,"Saw Palmetto Extract (Berries)<br />(<em>Serenoa repens</em>) (min. 45% Fatty Acids)","160 mg","† "
1391,"3875",595,"Panax Ginseng Extract (Roots) (min. 5% Ginsenosides)","100 mg","† "
1392,"3875",595,"ZMA®","55 mg","† "
1393,"3875",595,"Alpha Lipoic Acid","50 mg","† "
1394,"3875",595,"Choline (from Choline Bitartrate)","50 mg","† "
1395,"3875",595,"Kelp (<em>Laminaria digitata</em>) (Whole Plant)","45 mg","† "
1396,"3875",595,"Ginkgo Biloba Extract (Leaf) (min. 24% Ginkgoflavonglycosides)","30 mg","† "
1397,"3875",595,"Nettle Extract (Root) (<em>Urtica dioica</em>)","25 mg","† "
1398,"3875",595,"Grape Seed Extract (<em>Vitis vinifera</em>) (min. 90% Total Polyphenols)","25 mg","† "
1399,"3875",595,"Inositol (from Inositol Granules and Inositol Nicolinate)","25 mg","† "
1400,"3875",595,"Bromelain (2400 GDU/g)","25 mg","† "
1401,"3875",595,"Lipase (80,000 LU/g)","12.5 mg","† "
1402,"3875",595,"Papain (2000 USP/mg)","12.5 mg","† "
1403,"3875",595,"Amylase (5,000 FCC/g)","5 mg","† "
1404,"3875",595,"CoQ10 (as Ubiquinone)","5 mg","† "
1405,"3875",595,"Lycopene (from Natural Tomato Extract)","1 mg","† "
1406,"3875",595,"Boron (from Boron AAC*)","1 mg","† "
1407,"3875",595,"Lutein (from FloraGLO®)","500 mcg","† "
1408,"3875",595,"Vanadium (from Vanadium AAC*)","100 mcg","† "
1409,"4603",607,"Serving Size:","1 Vcap®",
1410,"4603",607,"Servings Per Container:",90,
1411,"4603",607,"Ashwagandha (<i>Withania somnifera</i>) Extract (Root)","450mg*"," "
1412,"4603",607,"(Standardized to min. 4.5% Total Withanolides)",," "
1413,"4604","#N/A","Serving Size:","1 Capsule",
1414,"4604","#N/A","Servings Per Container:",100,
1415,"4604","#N/A","Organic Alfalfa <i>(Medicago sativa)</i>(Leaf)","500 mg *"," "
1416,"4605","#N/A","Serving Size:","2 Capsules",
1417,"4605","#N/A","Servings Per Container:",50,
1418,"4605","#N/A","Total Carbohydrate","0.7 g","<1% "
1419,"4605","#N/A","Dietary Fiber","0.5 g",2%
1420,"4605","#N/A","Astragalus Root (<i>A. membranaceus</i>)","1.0 g (1,000 mg)","† "
1421,"4606","#N/A","Serving Size:","1 Capsule",
1422,"4606","#N/A","Servings Per Container:",100,
1423,"4606","#N/A","Black Walnut (Juglans nigra)","500 mg","* "
1424,"4607","#N/A","Serving Size:","2 Capsules",
1425,"4607","#N/A","Servings Per Container:",45,
1426,"4607","#N/A","Black Cohosh (<em>Cimicifuga racemosa</em>) (root) [Standardized to contain 2.5% total Triterpene Glycosides, calculated as 27-Deoxyactein (4mg)]","160 mg"," "
1427,"4607","#N/A","Licorice (<em>Glycyrrhiza glabra</em>) (root)","250 mg"," "
1428,"4607","#N/A","Dong Quai (<em>Angelica sinensis</em>) (root)","250 mg"," "
1429,"4608","#N/A","Serving Size:","2 Capsules",
1430,"4608","#N/A","Servings Per Container:",50,
1431,"4608","#N/A","Total Carbohydrate","1 g","<1% "
1432,"4608","#N/A","<b>Burdock Root (<i>Arctium lappa</i>)</b>","<b>860 mg</b>","<b>†</b> "
1433,"4610","#N/A","Serving Size:","1 Capsule",
1434,"4610","#N/A","Servings Per Container:",50,
1435,"4610","#N/A","Beta-Carotene (as pro-Vitamin A 6 mg)","10,000 IU",200%
1436,"4610","#N/A","Riboflavin (Vitamin B-2)","10 mg",590%
1437,"4610","#N/A","<b>Bilberry <i>(Vaccinium myrtillus)</i> (Fruit) </b>","80 mg"," "
1438,"4610","#N/A","<b>(Standardized to contain min. 25% anthocyanidins)</b>",," "
1439,"4610","#N/A","Carrot Powder","300 mg"," "
1440,"4610","#N/A","Citrus Bioflavonoids (37% total bioflavonoids as Hesperidin)","100 mg"," "
1441,"4612","#N/A","Serving Size:","1 Capsule",
1442,"4612","#N/A","Servings Per Container:",100,
1443,"4612","#N/A","Beta-Carotene (as pro-Vitamin A 6 mg)","10,000 IU (6 mg)",200%
1444,"4612","#N/A","Riboflavin (Vitamin B-2)","10 mg",590%
1445,"4612","#N/A","Bilberry (<i>Vaccinium myrtillus</i>) (fruit)","80 mg","† "
1446,"4612","#N/A","(standardized  to contain 25% anthocyanidins)",," "
1447,"4612","#N/A","Carrot Powder","300 mg","† "
1448,"4612","#N/A","Citrus Bioflavonoids (37% Total Bioflavonoids as Hesperidin)","100 mg","† "
1449,"4613","#N/A","Serving Size:","1 Vcap&ampreg;",
1450,"4613","#N/A","Servings Per Container:",60,
1451,"4613","#N/A","Boswellia Extract (<em>Boswellia serrata</em>) (Gum Resin)<br />(min. 65% Boswellic Acids)","250 mg","* "
1452,"4613","#N/A","<p>Turmeric Root Extract (<em>Curcuma longa</em>)<br />(min. 95% Curcuminoids)</p>","100 mg","* "
1453,"4613","#N/A","Turmeric Root Powder (<em>Curcuma longa</em>)","100 mg","* "
1454,"4614",619,"Serving Size:","1 Vcap&ampreg;",
1455,"4614",619,"Servings Per Container:",120,
1456,"4614",619,"Boswellia Extract (<em>Boswellia serrata</em>) (Gum Resin) (min. 65% Boswellic Acids)<br />","250 mg","* "
1457,"4614",619,"<div>Turmeric Root Extract (<em>Curcumin longa</em>) (min. 95% Curcuminoids)</div>","100 mg","* "
1458,"4614",619,"<span>Turmeric Root Powder (<em>Curcuma longa</em>)</span>","100 mg","* "
1459,"4615","#N/A","Serving Size:","2 Capsules",
1460,"4615","#N/A","Servings Per Container:",50,
1461,"4615","#N/A","Butcher's Broom 5:1 Extract (Ruscus aculeatus) (root) Equivalent to 1,000 m","200 mg","* "
1462,"4616","#N/A","Serving Size:","1 Vcap&ampreg;",
1463,"4616","#N/A","Servings Per Container:",60,
1464,"4616","#N/A","Cat's Claw Extract&ampnbsp;(<i>Uncaria tomentosa</i>)<br />(Inner Bark) (15:1&ampnbsp;Concentrate equivalent to 5,000 mg)","334 mg","* "
1465,"4616","#N/A","Cat's Claw Extract standardized to:",," "
1466,"4616","#N/A","Total Oxindole Alkaloids",,"3%** "
1467,"4616","#N/A","** per ingredient Certificate of Analysis",," "
1468,"4617","#N/A","Serving Size:","1 Vcap®",
1469,"4617","#N/A","Servings Per Container:",60,
1470,"4617","#N/A","Red Clover Extract (<em>Trifolium pratense)</em> (Flower)<br /> (min. 18% Total Isoflavones) (Standardized Extract)<br /> (yields min. 40 mg Total Isoflavones)","225 mg","* "
1471,"4617","#N/A","Black Cohosh Extract (<em>Cimicifuga racemosa) </em>(Root)<br /> (min. 2.5% <em>Triterpene Glycosides</em>)","40 mg","* "
1472,"4618","#N/A","Serving Size:","2 Capsules",
1473,"4618","#N/A","Servings Per Container:",50,
1474,"4618","#N/A","Total Carbohydrate","< 1 g",1%
1475,"4618","#N/A","Cat's Claw Powder (<i>Uncaria tomentosa</i>) (Inner Bark)","1.0 g (1,000 mg)","† "
1476,"4620","#N/A","Serving Size:","2 Capsules",
1477,"4620","#N/A","Servings Per Container:",50,
1478,"4620","#N/A","Total Carbohydrate","<1 g","<1% "
1479,"4620","#N/A","<b>Cascara Sagrada (Rhamnus purshiana) (Bark)</b>","<b>900 mg</b>","<b>†</b> "
1480,"4621","#N/A","Serving Size:","2 Capsules",
1481,"4621","#N/A","Servings Per Container:",125,
1482,"4621","#N/A","Total Carbohydrate","< 1 g",1%
1483,"4621","#N/A","Serving Size","2 Capsules"," "
1484,"4621","#N/A","Cat's Claw (<i>Uncaria tomentosa</i>) (Inner Bark)","1.0 g (1,000 mg)"," "
1485,"4621","#N/A","Servings Per Container",125," "
1486,"4623","#N/A","Serving Size:","2 Capsules",
1487,"4623","#N/A","Servings Per Container:",125,
1488,"4623","#N/A","Total Carbohydrate","<1 g","<1% "
1489,"4623","#N/A","<b>Cascara Sagrada (<i>Rhamnus purshiana</i>) (Bark)</b>","<b>900 mg</b>","<b>†</b> "
1490,"4625","#N/A","Serving Size:","1 Capsule",
1491,"4625","#N/A","Servings Per Container:",100,
1492,"4625","#N/A","Cayenne Pepper (Capsicum frutescens) (Fruit) (40,000 heat units)","500 mg*"," "
1493,"4625","#N/A","Serving Size","1 Capsule"," "
1494,"4626",626,"Serving Size:","1 Vcap®",
1495,"4626",626,"Servings Per Container:",60,
1496,"4626",626,"<strong>Celery Seed Standardized Extract</strong><em> (Apium graveolens)</em>1","<strong>100 mg*</strong>"," "
1497,"4626",626,"<strong>Horse Chestnut Standardized Extract</strong><em> (Aesculus hippocastanum)(seed)2</em>","<strong>200 mg*</strong>"," "
1498,"4626",626,"<strong>Hawthorn Standardized Extract </strong><em>(Crataegus laevigata)</em>(Leaf and Flower)3","<strong>25 mg*</strong>"," "
1499,"4627","#N/A","Serving Size:","1 Capsule",
1500,"4627","#N/A","Servings Per Container:",250,
1501,"4627","#N/A","Cayenne Pepper (<i>Capsicum frutescens</i>) (fruit) (40,000 heat units)","500 mg","* "
1502,"4628","#N/A","Serving Size:","1 Vcap&ampreg;",
1503,"4628","#N/A","Servings Per Container:",120,
1504,"4628","#N/A","Cat's Claw Extract (<em>Uncaria tomentosa</em>)<br /> (Inner Bark) (15:1 Concentrate equivalent to 5,000 mg)","334 mg","* "
1505,"4628","#N/A",,," "
1506,"4628","#N/A","Cat's Claw Extract standardized to:",," "
1507,"4628","#N/A","Total Oxindole Alkaloids",,"3%** "
1508,"4628","#N/A","** per ingredient Certificate of Analysis",," "
1509,"4630","#N/A","Serving Size:","2 Vcaps®",
1510,"4630","#N/A","Servings Per Container:",45,
1511,"4630","#N/A","Black Cherry (<em>Prunus serotina</em>) (Fruit) (10:1 Concentrate)","1.5 g (1,500 mg)*"," "
1512,"4631","#N/A","Serving Size:","2 Vcaps®",
1513,"4631","#N/A","Servings Per Container:",90,
1514,"4631","#N/A","Black Cherry (<i>Prunus serotina</i>) (Fruit) (10:1 Concentrate)","1.5 g (1,500 mg)*"," "
1515,"4632","#N/A","Serving Size:","3 Vcaps®",
1516,"4632","#N/A","Servings Per Container:",30,
1517,"4632","#N/A","Calories",6," "
1518,"4632","#N/A","Total Carbohydrates","1.5 g","<1% "
1519,"4632","#N/A","Dietary Fiber","0.5 g",2%
1520,"4632","#N/A","Sugars","0.5 g","† "
1521,"4632","#N/A","<b>Cranberry (<i>Vaccinium macrocarpon</i>) (Fruit)</b>","<b>1.0 g (1,000) mg</b>","<b>†</b> "
1522,"4632","#N/A","<b>(Standardized to min. 6% Quinic Acid and min. 3% OPC's)</b>",," "
1523,"4632","#N/A","Uva Ursi (<i>Arctostaphylos uva-ursi</i>) (Leaf)","300 mg","† "
1524,"4632","#N/A","(Standardized to min. 20% Arbutin)",," "
1525,"4632","#N/A","Grape Seed (<i>Vitis vinifera</i>)","45 mg","† "
1526,"4632","#N/A","(Standardized to min. 90% Total Polyphenols)",," "
1527,"4634","#N/A","Serving Size:","1 Vcap&ampreg;",
1528,"4634","#N/A","Servings Per Container:",90,
1529,"4634","#N/A","Boswellia Extract (<em>Boswellia serrata</em>) (Gum Resin)<br />(min. 65% Boswellic Acids)","600 mg","* "
1530,"4634","#N/A","Turmeric Root (<em>Curcuma longa</em>)","15 mg","* "
1531,"4635","#N/A","Serving Size:","2 Capsules",
1532,"4635","#N/A","Servings Per Container:",50,
1533,"4635","#N/A","Chickweed Herb Powder","800 mg","* "
1534,"4636","#N/A","Serving Size:","2 Capsules",
1535,"4636","#N/A","Servings Per Container:",60,
1536,"4636","#N/A","Calories",5," "
1537,"4636","#N/A","Total Carbohydrate","<1 g","<1% "
1538,"4636","#N/A","<b>Cinnamon (<i>Cinnamonum verum</i>) (Bark) (Ceylon) (True Cinnamon)</b>","<b>1.2 g (1,200 mg)</b>","<b>†</b> "
1539,"4637","#N/A","Serving Size:","2 Capsules",
1540,"4637","#N/A","Servings Per Container:",120,
1541,"4637","#N/A","Calories",5," "
1542,"4637","#N/A","Total Carbohydrate","<1 g","<1% "
1543,"4637","#N/A","<b>Cinnamon (<i>Cinnamonum verum</i>) (Bark) (Ceylon) (True Cinnamon)</b>","<b>1.2 g (1,200 mg)</b>","<b>†</b> "
1544,"4638","#N/A","Serving Size:","1 Vcap&ampreg;",
1545,"4638","#N/A","Servings Per Container:",60,
1546,"4638","#N/A","Turmeric Root Extract (<em>Curcuma longa</em>)<br /> [Standardized to provide min. 95% Curcuminoids (containing <br /> Curcumin, Demethoxycurcumin and Bisdemethoxycurcumin)]","665 mg","* "
1547,"4639","#N/A","Serving Size:","1 Vcap®",
1548,"4639","#N/A","Servings Per Container:",120,
1549,"4639","#N/A","Turmeric Root Extract (<em>Curcuma longa</em>)<br /> [Standardized to provide min. 95% Curcuminoids (containing Curcumin, Demethoxycurcumin and Bisdemethoxycurcumin)]","665 mg","* "
1550,"4640","#N/A","Serving Size:","2 Capsules",
1551,"4640","#N/A","Servings Per Container:",50,
1552,"4640","#N/A","Total Carbohydrate","1 g","&#60;1%* "
1553,"4640","#N/A","Damiana (Turnera diffusa) (leaf)","900 mg"," "
1554,"4642","#N/A","Serving Size:","1 Vcap&ampreg;",
1555,"4642","#N/A","Servings Per Container:",60,
1556,"4642","#N/A","Bio-Curcumin Phytosome<br />(Turmeric Root Extract (<em>Curcuma longa</em>)/Phosphatidyl Choline<br />Complex) (Meriva&ampreg; Turmeric Phytosome)<br />(Standardized to min. 18% Curcuminoids - 90 mg)","500 mg","* "
1557,"4645","#N/A","Serving Size:","2 Capsules",
1558,"4645","#N/A","Servings Per Container:",50,
1559,"4645","#N/A","Total Carbohydrate","&#60;1 g","&#60;1%* "
1560,"4645","#N/A","Dandelion Root (Taraxacum officinale)","1.0 g (1,000 mg)","† "
1561,"4650","#N/A","Serving Size:","2 Capsules",
1562,"4650","#N/A","Servings Per Container:",50,
1563,"4650","#N/A","Calories",7," "
1564,"4650","#N/A","Total Carbohydrate","<1 g","<1% "
1565,"4650","#N/A","Devil's Claw Root (<i>Harpagophytum procumbens</i>)","166 mg","† "
1566,"4650","#N/A","(6:1 Concentrate) (Equivalent to 1,000 mg)",," "
1567,"4652","#N/A","Serving Size:","2 Lozenges",
1568,"4652","#N/A","Servings Per Container:",50,
1569,"4652","#N/A","Calories",20," "
1570,"4652","#N/A","Total Carbohydrate","4 g","1%* "
1571,"4652","#N/A","Sugars","3 g","† "
1572,"4652","#N/A","<strong>DGL (De-Glycyrrhizinated Licorice)&#160;Extract (Glycyrrhiza glabra) (Root)</strong>","<strong>800 mg</strong>","<strong>†</strong> "
1573,"4652","#N/A","Glycine","400 mg","† "
1574,"4652","#N/A","<i>Stevia rebaudiana</i> Extract (Leaf) (min. 90% Steviosides)","12 mg","† "
1575,"4655","#N/A","Serving Size:","2 Capsules",
1576,"4655","#N/A","Servings Per Container:",50,
1577,"4655","#N/A","Total carbohydrate","0.76 g (760 mg)","<1% "
1578,"4655","#N/A","Dong Quai Powder (Angelica sinensis) (root)","1.04 g (1,040 mg)","† "
1579,"4657","#N/A","Serving Size:","1 Vcap®",
1580,"4657","#N/A","Servings Per Container:",60,
1581,"4657","#N/A","Echinacea angustifolia Root Extract (standardized to contain min 4% Echinac","125 mg","* "
1582,"4657","#N/A","Echinacea purpurea Root","300 mg","* "
1583,"4660","#N/A","Serving Size:","2 Capsules",
1584,"4660","#N/A","Servings Per Container:",50,
1585,"4660","#N/A","Total Carbohydrate","620 mg","<1% "
1586,"4660","#N/A","Echinacea purpurea powder (root)","800 mg","† "
1587,"4662","#N/A","Serving Size:","2 Capsules",
1588,"4662","#N/A","Servings Per Container:",125,
1589,"4662","#N/A","Total Carbohydrate","620 mg","<1% "
1590,"4662","#N/A","Echinacea purpurea powder (root)","800 mg","† "
1591,"4665","#N/A","Serving Size:","2 capsules",
1592,"4665","#N/A","Servings Per Container:",50,
1593,"4665","#N/A","Total Carbohydrate","710 mg","<1% "
1594,"4665","#N/A","<i>Echinacea purpurea</i> Root Powder","450 mg","† "
1595,"4665","#N/A","Goldenseal Root Powder <i>(Hydrastis canadensis)</i>","450 mg","† "
1596,"4666","#N/A","Serving Size:","2 Capsules",
1597,"4666","#N/A","Servings Per Container:",125,
1598,"4666","#N/A","Total Carbohydrate","<1 g","<1% "
1599,"4666","#N/A","<i>Echinacea purpurea</i> Root Powder","450 mg","† "
1600,"4666","#N/A","Goldenseal Root <i>(Hydrastis canadensis)</i>","450 mg","† "
1601,"4667","#N/A","Serving Size:","1 Vcap&ampreg;",
1602,"4667","#N/A","Servings Per Container:",60,
1603,"4667","#N/A","Elderberry Extract (10:1 Concentrate) (Sambucus nigra)(Berries/Fruit)","500 mg","* "
1604,"4668","#N/A","Serving Size:","2 Capsules",
1605,"4668","#N/A","Servings Per Container:",50,
1606,"4668","#N/A","Total Carbohydrate","650 mg","<1% "
1607,"4668","#N/A","Eyebright Herb (<i>Euphrasia officinalis</i>) (leaves and stems)","940 mg","† "
1608,"4670","#N/A","Serving Size:","1 Capsule",
1609,"4670","#N/A","Servings Per Container:",100,
1610,"4670","#N/A","Feverfew Extract (min. 0.8% Parthenolide)","400 mg*"," "
1611,"4670","#N/A","(<i>Tanacetum parthenium</i>) (Leaf)",," "
1612,"4672","#N/A","Serving Size:","1 Vcap&ampreg;",
1613,"4672","#N/A","Servings Per Container:",90,
1614,"4672","#N/A","Proprietary Blend","450 mg","* "
1615,"4672","#N/A","Burdock (<em>Arctium lappa</em>) (Root) (4:1 Extract)",," "
1616,"4672","#N/A","Sheep Sorrel (<em>Rumex acetosella) </em>(Leaf) (4:1 Extract)",," "
1617,"4672","#N/A","Slippery Elm (<i>Ulmus fulva</i>) (Bark) (4:1 Extract)",," "
1618,"4672","#N/A","Turkey Rhubarb (<em>Rheum palmatum) </em>(Root) (4:1 Extract)",," "
1619,"4674","#N/A","Serving Size:","1 Vcap&ampreg;",
1620,"4674","#N/A","Servings Per Container:",180,
1621,"4674","#N/A","Proprietary Blend","450 mg","* "
1622,"4674","#N/A","Burdock (<i>Articum lappa</i>) (Root) (4:1 Extract)",," "
1623,"4674","#N/A","Sheep Sorrel (<i>Rumex acetosella</i>) (Leaf) (4:1 Extract)",," "
1624,"4674","#N/A","Slippery Elm Bark (<i>Ulmus fulva</i>) (Bark) (4:1 Extract)",," "
1625,"4674","#N/A","Turkey Rhubarb (<i>Rheum palmatum</i>) (Root) (4:1 Extract)",," "
1626,"4675","#N/A","Serving Size:","2 Capsules",
1627,"4675","#N/A","Servings Per Container:",50,
1628,"4675","#N/A","Total Carbohydrate","810 mg","<1% "
1629,"4675","#N/A","Dietary Fiber","530 mg",2%
1630,"4675","#N/A","Fo-Ti Powder","1.12 g","† "
1631,"4676","#N/A","Serving Size:","2 Capsules",
1632,"4676","#N/A","Servings Per Container:",50,
1633,"4676","#N/A","Total Carbohydrate","<1 g","<1% "
1634,"4676","#N/A","Fenugreek Powder (<i>Trigonella foenum-graecum</i>) (seed)","700 mg","† "
1635,"4676","#N/A","Thyme (<i>Thymus vulgaris</i>) (leaf)","300 mg","† "
